ASIN,Brand Name,GV(Q4 2025 ),Net Ordered Units(Q4 2025 ),Net Receipts (Units)(Q4 2025 ),Total Inventory Units(Q4 2025 ),Net Receipts($)(Q4 2025 ),Product GMS($)(Q4 2025 ),Gross Shipped GMS($)(Q4 2025 ),Net Ordered GMS($)(Q4 2025 ),Deal GMS($)(Q4 2025 ),Net PPM(Q4 2025 )(%),Amzn GV(Q4 2025 ),SoROOS(%)(Q4 2025 )(%),Daily SoRoos%(Q4 2025 )(%),Fill Rate - Sourceable(Q4 2025 )(%),Vendor Confirmation Rate - Sourceable(Q4 2025 )(%),Conversion Rate(Q4 2025 )(%),ASP(Q4 2025 ),CM(Q4 2025 )(%),CP($)(Q4 2025 ),CPPU(Q4 2025 ),PPM(Q4 2025 )(%),CCOGS As A % Of PCOGS(Q4 2025 )(%),CCOGS As A % Of Revenue(Q4 2025 )(%),External Box Price Competitiveness (% Of GV)(Q4 2025 )(%),IDQ Score(Q4 2025 )
B091VPBF8Q,American Garden,2125,202,858.00,258.00,3970.04,957.09,921.80,916.98,141.97,16.82%,1837,13.87%,13.87%,77.53%,91.99%,9.51%,4.71,(28.09)%,-262.10,-1.29,(1.07)%,22.55%,22.79%,37.16%,96.70
B0CH8Y34JD,Barebells,665,25,45.00,20.00,1523.58,938.30,930.16,930.19,0,31.45%,357,37.23%,37.23%,61.11%,100.00%,3.76%,37.53,20.38%,192.25,7.69,9.79%,24.50%,22.10%,0.00%,78.00
B00D6BMXDM,Alitea,443,240,430.00,1.00,2548.59,926.54,905.37,920.65,435.90,13.94%,335,30.70%,30.70%,30.84%,87.37%,54.18%,3.93,(18.65)%,-173.75,-0.74,(50.97)%,44.66%,67.42%,79.47%,0
B01L1DRDKO,UNKNOWN,884,302,2484.00,860.00,7071.17,922.67,890.08,875.35,0,15.46%,811,41.94%,41.94%,76.26%,98.19%,34.16%,3.01,(42.96)%,-404.94,-1.32,1.33%,17.95%,17.71%,65.12%,97.00
B07NF9H25V,Palazi,2136,183,292.00,75.00,1602.68,916.63,903.52,904.30,584.70,36.23%,1985,1.45%,1.45%,73.56%,100.00%,8.57%,5.01,(3.49)%,-32.59,-0.18,(9.58)%,43.96%,48.17%,56.93%,62.50
B002GK0570,Gerber,281,174,343.00,53.00,1978.78,905.19,911.75,907.74,126.82,25.63%,254,12.10%,12.10%,100.00%,44.44%,61.92%,5.17,4.77%,44.06,0.25,(11.53)%,34.25%,38.20%,55.91%,91.20
B00NRML2XM,Dilmah,303,117,96.00,0.00,763.18,879.18,885.83,885.97,0,19.29%,224,25.41%,25.41%,22.22%,21.95%,38.61%,7.51,(9.15)%,-82.54,-0.71,(5.79)%,24.00%,25.39%,51.56%,0
B088F92WLW,Freakin' Healthy,583,827,382.00,1.00,478.40,867.57,808.65,840.20,0,30.97%,573,13.21%,13.21%,100.00%,8.18%,141.85%,1.08,(12.57)%,-105.85,-0.13,(16.35)%,46.83%,54.49%,0.00%,98.20
B087GL49FM,Erko,1173,311,382.00,95.00,1106.57,860.25,820.36,817.82,389.64,31.60%,1153,4.52%,4.52%,58.37%,100.00%,26.51%,2.76,(10.58)%,-90.40,-0.29,(5.06)%,39.72%,41.73%,100.00%,72.50
B0861M1XS5,Suntop,137,50,47.00,12.00,583.49,852.34,853.12,853.12,233.45,34.31%,134,0.00%,0.00%,41.67%,100.00%,36.50%,17.05,12.54%,108.52,2.17,27.17%,9.80%,7.14%,100.00%,83.00
B087GJT9V6,Tian's,1136,588,329.00,30.00,501.60,850.67,831.84,848.21,229.10,29.48%,1078,39.26%,39.26%,24.00%,100.00%,51.76%,1.47,(24.29)%,-208.51,-0.36,(3.59)%,34.24%,35.47%,0.00%,93.70
B087GL3GNC,Maikom,905,144,207.00,16.00,1388.62,847.20,830.67,859.72,602.49,36.67%,789,7.85%,7.85%,62.97%,100.00%,15.91%,6.01,3.65%,29.63,0.21,(11.65)%,45.83%,51.17%,92.49%,90.00
B091VQBBGW,American Garden,1547,180,716.00,267.00,3270.43,832.99,808.11,791.96,145.95,15.55%,1318,11.49%,11.49%,87.78%,92.47%,11.64%,4.53,(24.24)%,-200.15,-1.09,(4.95)%,23.13%,24.28%,52.46%,96.70
B0CB84DSJZ,Candyland,1022,603,566.00,293.00,733.49,827.92,832.68,836.31,247.16,75.49%,996,0.00%,0.00%,92.69%,99.64%,59.00%,1.37,2.33%,20.40,0.03,5.61%,79.23%,74.78%,0.00%,85.00
