ASIN,Brand Name,List Price($)(T12M ),Product GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),GV(T12M ),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),Net Receipts($)(T12M ),Net Receipts (Units)(T12M ),CCOGS As A % Of PCOGS(T12M )(%),PPM(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),Net Ordered Units(T12M ),Customer Returns($)(T12M ),IDQ Score(T12M )
B084PTX8XP,American Garden,6.65,1291.22,16.25,19.33%,3083,2845,8.96%,8.96%,97.01%,100.00%,5.82,(16.33)%,-210.05,2906.53,519.00,18.53%,3.71%,89.57%,222,16.80,94.50
B083VK1XBB,American Garden,10.41,1265.60,0,14.46%,585,529,19.52%,19.52%,66.67%,100.00%,8.85,(8.92)%,-111.02,1115.91,126.00,18.50%,(0.07)%,69.18%,144,0.00,97.00
B00A3KSCXY,Al Rifai,6.88,1237.93,199.49,20.96%,397,378,28.14%,28.14%,88.07%,98.79%,6.07,(4.16)%,-50.67,1561.37,302.00,12.71%,14.80%,65.23%,211,0.00,79.20
B00L2ZKM0K,American Garden,4.00,1235.08,207.09,17.70%,1994,1551,5.78%,5.78%,94.29%,80.52%,3.27,(39.35)%,-474.47,5002.15,1588.00,20.36%,2.83%,51.46%,378,9.45,0
B091VRT6S1,American Garden,9.74,1231.29,56.84,22.38%,694,651,27.25%,27.25%,76.19%,95.45%,8.32,(2.14)%,-26.51,1369.51,180.00,18.53%,7.61%,55.21%,148,0.00,100.00
B00L2ZKSWM,American Garden,4.18,1202.93,5.59,7.42%,2035,1850,1.78%,1.78%,96.20%,93.59%,3.25,(38.48)%,-465.58,1604.81,451.00,18.30%,(9.45)%,35.93%,370,0.00,98.30
B072BZJJN7,Splenda,3.38,1174.37,21.53,26.32%,1048,1010,25.00%,25.00%,67.44%,97.73%,5.00,(13.86)%,-162.19,920.73,236.00,8.36%,21.93%,0.00%,232,0.00,80.50
B0D2P5HXT1,Tata Soulfull,0.00,1162.33,0,24.14%,2898,2743,10.14%,10.14%,85.17%,99.10%,4.95,(19.40)%,-221.01,2376.35,569.00,13.69%,15.56%,50.29%,236,20.88,70.00
B00L2ZL0YW,American Garden,3.98,1142.56,157.26,18.10%,2097,2000,2.19%,2.19%,92.96%,100.00%,3.39,(30.97)%,-346.54,1851.11,547.00,21.57%,0.18%,48.11%,339,27.07,97.00
B07NF942SP,American Garden,3.16,1141.15,13.96,18.30%,4208,3321,3.68%,3.68%,91.75%,100.00%,2.98,(51.38)%,-553.71,4332.92,1486.00,19.52%,2.14%,72.90%,383,23.33,89.40
B00L2ZKNL8,American Garden,5.36,1122.44,13.56,13.97%,971,821,2.37%,2.37%,91.64%,51.34%,4.14,(22.29)%,-239.30,2040.97,499.00,18.50%,0.51%,28.97%,271,9.22,98.30
B07PCF1NF9,UNKNOWN,3.75,1104.03,192.92,14.02%,957,892,2.52%,2.52%,95.04%,83.45%,2.88,(51.85)%,-571.32,2240.02,837.00,10.62%,7.16%,38.59%,384,5.35,82.90
B00L2ZKROQ,American Garden,3.22,1087.74,50.30,18.98%,4063,3636,8.32%,8.32%,89.38%,98.39%,3.58,(41.41)%,-458.89,3927.75,1174.00,18.15%,5.42%,29.51%,304,3.38,98.30
B07NF5Y85R,American Garden,3.65,1061.84,23.83,23.45%,2196,2134,4.78%,4.78%,79.31%,67.44%,3.40,(49.27)%,-488.47,909.28,294.00,18.53%,9.12%,38.73%,311,30.93,76.90
B00L2ZL28G,American Garden,5.60,1058.38,52.76,24.26%,1385,1317,14.11%,14.11%,91.70%,82.57%,5.57,(9.16)%,-99.55,1436.17,283.00,18.40%,8.90%,44.15%,190,0.00,94.20
B0C62CMRMF,TATA,1.25,1053.44,153.52,0.77%,3068,2262,7.85%,7.85%,80.34%,100.00%,4.58,(41.88)%,-442.17,3733.03,631.00,24.17%,(29.17)%,61.11%,230,0.00,100.00
B00L28DEWA,American Garden,3.67,955.15,6.29,16.83%,1597,1315,13.90%,13.90%,91.85%,98.84%,3.14,(32.66)%,-313.04,5356.07,1822.00,18.44%,2.65%,51.03%,301,0.00,94.00
B00L2ZK7CS,American Garden,2.65,949.78,10.30,15.40%,5759,5349,9.57%,9.57%,98.44%,95.65%,3.40,(50.05)%,-499.57,2932.29,857.00,17.81%,0.74%,21.84%,279,0.00,97.00
B083VKRS2P,TILDA,8.88,911.18,541.38,27.45%,422,407,1.65%,1.65%,99.02%,100.00%,8.93,4.34%,39.61,1023.21,109.00,33.30%,(5.08)%,100.00%,102,0.00,74.40
B083VKGY29,Tata,8.88,910.58,21.45,20.80%,1179,1052,18.74%,18.74%,84.17%,99.52%,3.29,(28.20)%,-260.06,973.84,324.00,14.96%,8.57%,52.65%,277,9.02,100.00
B00L28C5U2,American Garden,4.90,909.89,67.75,19.59%,4446,4089,7.88%,7.88%,97.15%,88.37%,4.21,(28.68)%,-254.01,1792.15,446.00,21.44%,1.70%,19.21%,216,0.00,0
B07P9G9RTZ,American Garden,6.65,851.84,130.98,19.29%,3047,2817,26.77%,26.77%,97.14%,92.75%,5.68,(19.78)%,-149.63,2186.59,393.00,21.64%,1.39%,53.69%,150,56.00,93.00
B0D2P44PQ9,Tata Soulfull,0.00,842.90,56.99,10.16%,968,846,27.28%,27.28%,78.59%,74.70%,4.53,(39.23)%,-336.82,1167.40,247.00,16.15%,(3.63)%,64.74%,185,0.00,0
B083VKML26,Tetley,6.08,842.38,0,(13.28)%,500,332,19.83%,19.83%,96.93%,100.00%,4.23,(53.43)%,-445.96,1306.00,246.00,10.28%,(25.42)%,74.14%,199,5.31,86.00
B083VKQWPQ,American Garden,6.66,777.40,0,17.91%,1307,1213,11.25%,11.25%,83.08%,100.00%,5.72,(15.40)%,-120.75,1271.26,227.00,17.96%,2.03%,83.16%,138,5.60,93.00
B07P68FLFY,American Garden,7.25,771.40,48.92,11.17%,2837,2274,7.69%,7.69%,96.26%,100.00%,5.63,(22.63)%,-172.70,2131.74,348.00,20.14%,(8.79)%,25.59%,137,18.38,93.00
B00L28CLEW,American Garden,5.84,770.98,24.48,17.96%,1153,1064,12.02%,12.02%,61.11%,100.00%,5.07,(22.58)%,-172.07,713.91,144.00,18.38%,2.26%,50.83%,153,0.00,97.00
B08C192WMP,Al Arabi,12.06,770.47,15.73,22.71%,240,217,27.92%,27.92%,81.74%,96.64%,9.51,(4.86)%,-38.10,595.13,74.00,9.17%,15.45%,44.12%,83,0.00,84.20
B083VKCLGR,Tetley,3.74,752.45,0,17.68%,576,491,23.05%,23.05%,93.54%,97.59%,3.47,(35.27)%,-271.83,2502.55,766.00,13.51%,5.78%,63.82%,220,0.00,100.00
B00GB8Y30S,Ching's Secret,2.24,727.48,0,28.88%,1830,1627,12.85%,12.85%,88.53%,83.43%,2.52,(34.26)%,-250.92,1564.34,777.00,15.22%,20.82%,65.04%,290,1.90,74.20
B01DA5BU6Y,American Garden,5.83,714.05,0,24.47%,2251,1868,27.07%,27.07%,87.03%,100.00%,5.41,(27.47)%,-196.91,1570.09,322.00,18.50%,9.86%,94.55%,132,0.00,100.00
B083VKPXV2,Sultan,11.69,710.49,232.93,31.73%,321,262,34.89%,34.89%,65.04%,96.85%,10.93,9.41%,66.52,634.92,79.00,9.84%,26.47%,0.00%,66,0.00,70.00
B0C8BBWN4X,Ching's,0.53,704.80,0,33.14%,620,588,15.86%,15.86%,75.93%,89.63%,5.03,(17.74)%,-122.40,577.71,155.00,13.90%,25.96%,43.83%,138,3.73,66.60
B07PH3ZW8T,American Garden,6.58,690.01,37.94,22.48%,315,288,4.44%,4.44%,93.33%,100.00%,6.11,(19.81)%,-122.61,532.13,96.00,18.50%,9.22%,51.87%,113,16.63,78.00
B01FMA8PRW,foster clark's,1.22,689.00,0,15.45%,5134,4454,6.24%,6.24%,99.47%,52.87%,1.57,(90.99)%,-663.19,992.23,751.00,4.95%,14.39%,25.69%,440,2.79,0
B0847NL6J7,Al Osra,3.10,682.11,0,10.25%,1122,874,21.20%,21.20%,83.05%,94.71%,2.80,(59.27)%,-415.24,4549.08,1705.00,8.43%,4.56%,70.34%,243,2.67,75.40
