ASIN,Brand Name,GV(Week 2 ),Net Ordered Units(Week 2 ),Net Receipts (Units)(Week 2 ),Total Inventory Units(Week 2 ),Net Receipts($)(Week 2 ),Product GMS($)(Week 2 ),Gross Shipped GMS($)(Week 2 ),Net Ordered GMS($)(Week 2 ),Deal GMS($)(Week 2 ),Net PPM(Week 2 )(%),Amzn GV(Week 2 ),SoROOS(%)(Week 2 )(%),Daily SoRoos%(Week 2 )(%),Fill Rate - Sourceable(Week 2 )(%),Vendor Confirmation Rate - Sourceable(Week 2 )(%),Conversion Rate(Week 2 )(%),ASP(Week 2 ),CM(Week 2 )(%),CP($)(Week 2 ),CPPU(Week 2 ),PPM(Week 2 )(%),CCOGS As A % Of PCOGS(Week 2 )(%),CCOGS As A % Of Revenue(Week 2 )(%),External Box Price Competitiveness (% Of GV)(Week 2 )(%),IDQ Score(Week 2 )
B083VKDQ3P,TATA,70,35,71.00,501.00,213.40,116.63,115.45,112.57,0,19.88%,66,0.00%,0.00%,94.74%,100.00%,50.00%,3.24,(30.31)%,-36.42,-1.01,7.22%,15.93%,14.78%,25.76%,100.00
B000R73XZ0,Bragg,83,19,24.00,2.00,125.78,113.34,113.01,95.29,0,(8.21)%,81,4.82%,4.82%,100.00%,100.00%,22.89%,4.93,(51.72)%,-61.27,-2.66,(6.35)%,2.18%,2.32%,36.71%,95.00
B093YXPPWS,Nabati,102,25,0.00,135.00,0.00,109.58,109.90,109.90,0,31.44%,91,0.00%,0.00%,3.23%,100.00%,24.51%,4.38,(1.15)%,-1.31,-0.05,13.04%,23.00%,20.00%,0.00%,85.00
B081LFRBNG,Mr Makhana,85,100,440.00,1100.00,473.18,109.16,102.68,103.75,0,69.69%,85,0.00%,0.00%,100.00%,100.00%,117.65%,1.10,(9.41)%,-9.81,-0.10,2.47%,75.23%,73.37%,43.53%,78.20
B08ZQF4KQJ,Afia,27,11,9.00,21.00,91.59,109.01,90.33,114.56,0,2.87%,26,33.33%,33.33%,106.25%,100.00%,40.74%,12.11,(19.46)%,-18.73,-2.08,15.98%,0.00%,0.00%,0.00%,70.00
B00L2ZL4V6,American Garden,53,20,236.00,154.00,891.81,107.81,110.40,83.70,0,25.13%,41,0.00%,0.00%,103.17%,100.00%,37.74%,4.15,(28.83)%,-31.57,-1.21,8.87%,18.50%,16.86%,80.95%,94.00
B001QBX8BU,Tetley,36,28,0.00,36.00,0.00,106.52,106.15,106.18,0,40.92%,36,0.00%,0.00%,30.00%,100.00%,77.78%,3.80,(7.82)%,-8.63,-0.31,34.30%,10.93%,7.18%,0.00%,97.00
B088FH4VG8,UNKNOWN,46,23,24.00,38.00,98.93,106.08,106.96,106.97,0,22.27%,45,0.00%,0.00%,66.67%,100.00%,50.00%,4.61,(18.58)%,-20.62,-0.90,10.63%,15.93%,14.24%,28.89%,59.90
B00ECGW40C,MARTINELLI'S,10,27,24.00,12.00,60.90,102.69,105.28,86.61,0,30.10%,10,70.00%,70.00%,25.00%,80.00%,270.00%,3.11,(75.66)%,-86.62,-2.62,18.46%,14.27%,11.64%,100.00%,86.00
B072BZJJN7,Splenda,17,17,8.00,7.00,31.21,98.78,96.70,86.35,0,29.33%,17,0.00%,0.00%,57.14%,100.00%,100.00%,5.20,(3.22)%,-3.18,-0.17,24.96%,8.62%,6.47%,0.00%,80.50
B0881MS1FD,Americandy,58,26,0.00,412.00,0.00,98.36,97.52,80.01,0,26.04%,57,0.00%,0.00%,0.00%,0.00%,44.83%,3.07,(9.45)%,-9.22,-0.29,9.12%,23.69%,21.52%,0.00%,87.50
B07HNSPY84,Dilmah,27,15,0.00,26.00,0.00,96.24,93.27,100.77,26.95,27.46%,26,0.00%,0.00%,0.00%,0.00%,55.56%,6.87,4.14%,3.99,0.28,0.59%,29.00%,28.83%,0.00%,81.00
B002GK0570,Gerber,21,18,0.00,4.00,0.00,90.34,88.48,93.80,0,16.79%,19,0.00%,0.00%,0.00%,72.73%,85.71%,5.31,(16.22)%,-14.82,-0.87,(8.56)%,25.25%,27.41%,94.74%,91.20
B0881M44V2,Cici,36,15,0.00,105.00,0.00,90.20,85.24,125.89,0,34.61%,35,0.00%,0.00%,0.00%,100.00%,41.67%,9.02,15.78%,13.66,1.37,20.92%,24.26%,19.19%,25.71%,98.20
B01L1DRDKO,UNKNOWN,58,33,156.00,711.00,437.48,89.44,85.04,93.69,0,19.17%,52,0.00%,0.00%,53.33%,100.00%,56.90%,2.98,(60.85)%,-53.24,-1.77,6.48%,18.50%,17.30%,52.63%,97.00
B091VQBBGW,American Garden,104,19,12.00,212.00,53.22,89.32,88.68,88.72,0,21.46%,89,0.00%,0.00%,33.33%,100.00%,18.27%,4.70,(19.80)%,-18.42,-0.97,5.65%,18.50%,17.45%,43.90%,96.70
B0CHF7Q4M2,Costa dÓro,34,6,0.00,44.00,0.00,89.09,88.48,78.37,0,29.29%,34,0.00%,0.00%,0.00%,0.00%,17.65%,12.73,9.47%,8.40,1.20,9.09%,24.57%,22.34%,0.00%,81.70
B07NF69CGR,Bundaberg,0,47,3.00,234.00,9.39,88.21,87.87,100.94,0,(29.59)%,0,0.00%,0.00%,0.00%,0.00%,0.00%,2.21,(67.62)%,-61.65,-1.54,(41.98)%,9.00%,12.78%,0.00%,0.00
